score,threshold,raw_pairs,selected_candidate_edges,dropped_pairs,kept_pairs,dedup_rate
image,0.6,200000,226526,69010,130990,0.34505
image,0.65,200000,172607,59591,140409,0.297955
image,0.7,200000,121696,48565,151435,0.242825
image,0.75,200000,81681,37331,162669,0.186655
image,0.8,200000,57625,28003,171997,0.140015
image,0.85,200000,43785,22204,177796,0.11102
image,0.9,200000,12348,7912,192088,0.03956
image,0.95,200000,2249,1637,198363,0.008185
text,0.6,200000,490866,95605,104395,0.478025
text,0.65,200000,487238,94417,105583,0.472085
text,0.7,200000,483035,93001,106999,0.465005
text,0.75,200000,478752,91545,108455,0.457725
text,0.8,200000,474556,90145,109855,0.450725
text,0.85,200000,470852,89099,110901,0.445495
text,0.9,200000,278084,55442,144558,0.27721
text,0.95,200000,139458,29217,170783,0.146085
joint,0.6,200000,472676,95418,104582,0.47709
joint,0.65,200000,423335,90156,109844,0.45078
joint,0.7,200000,344153,80427,119573,0.402135
joint,0.75,200000,240817,64675,135325,0.323375
joint,0.8,200000,129139,43586,156414,0.21793
joint,0.85,200000,47272,22043,177957,0.110215
joint,0.9,200000,14904,9212,190788,0.04606
joint,0.95,200000,4315,3237,196763,0.016185
max,0.6,200000,500000,98248,101752,0.49124
max,0.65,200000,500000,98248,101752,0.49124
max,0.7,200000,500000,98248,101752,0.49124
max,0.75,200000,500000,98248,101752,0.49124
max,0.8,200000,500000,98248,101752,0.49124
max,0.85,200000,500000,98248,101752,0.49124
max,0.9,200000,285176,58950,141050,0.29475
max,0.95,200000,140352,29701,170299,0.148505
naive_union,0.6,200000,500000,98248,101752,0.49124
score_assisted_pair,0.6,200000,217392,66082,133918,0.33041
naive_union,0.65,200000,500000,98248,101752,0.49124
score_assisted_pair,0.65,200000,159845,55242,144758,0.27621
naive_union,0.7,200000,500000,98248,101752,0.49124
score_assisted_pair,0.7,200000,104731,42393,157607,0.211965
naive_union,0.75,200000,500000,98248,101752,0.49124
score_assisted_pair,0.75,200000,60433,29169,170831,0.145845
naive_union,0.8,200000,500000,98248,101752,0.49124
score_assisted_pair,0.8,200000,32181,17604,182396,0.08802
naive_union,0.85,200000,500000,98248,101752,0.49124
score_assisted_pair,0.85,200000,14637,9256,190744,0.04628
naive_union,0.9,200000,285176,58950,141050,0.29475
score_assisted_pair,0.9,200000,5256,3868,196132,0.01934
naive_union,0.95,200000,140352,29701,170299,0.148505
score_assisted_pair,0.95,200000,1355,1140,198860,0.0057
